"editid","editor","oldrevisionid","newrevisionid","diffurl","class","annotators","totalannotators","edittime","editcomment","articleid","articletitle"
613631,"Alex1993",41822514,41822534,"http://es.wikipedia.org/w/index.php?diff=41822534&oldid=41822514","regular",1,1,"2010-11-16T11:28:58Z",,3824672,"Rafa Méndez"
613632,"Escarlati",42181413,42181547,"http://es.wikipedia.org/w/index.php?diff=42181547&oldid=42181413","regular",1,1,"2010-11-30T19:17:21Z","Revertidos los cambios de [[User:Petar-Biografias|Petar-Biografias]] a la última edición de [[User:79.109.72.131|79.109.72.131]] usando [[w:es:User:Axxgreazz/Monobook-Suite|monobook-suite]]",100987,"Álvaro de Luna"
613633,"190.129.23.28",41688530,41731756,"http://es.wikipedia.org/w/index.php?diff=41731756&oldid=41688530","regular",1,1,"2010-11-12T14:20:17Z","/* Enlaces externos */",13960,"Cultura de Bolivia"
613634,"Juamax",39055483,41799289,"http://es.wikipedia.org/w/index.php?diff=41799289&oldid=39055483","regular",1,1,"2010-11-15T11:35:16Z",,1040336,"Fred Haise"
613635,"Delphidius",42172156,42178330,"http://es.wikipedia.org/w/index.php?diff=42178330&oldid=42172156","regular",1,1,"2010-11-30T17:06:26Z","Revertidos los cambios de [[Special:Contributions/155.210.217.102|155.210.217.102]] ([[User talk:155.210.217.102|disc.]]) a la última edición de 190.230.182.108",6638,"Mujer"
613636,"83.32.177.31",42225832,42225881,"http://es.wikipedia.org/w/index.php?diff=42225881&oldid=42225832","vandalism",1,1,"2010-12-02T16:22:17Z",,180076,"Silvicultura"
613637,"Ángel Luis Alfaro",42206413,42206465,"http://es.wikipedia.org/w/index.php?diff=42206465&oldid=42206413","regular",1,1,"2010-12-01T19:34:18Z","/* Referencias */",2806169,"Autoabastecimiento"
613638,"Montilleta",42167267,42177725,"http://es.wikipedia.org/w/index.php?diff=42177725&oldid=42167267","regular",1,1,"2010-11-30T16:36:46Z",,245697,"Tiro libre (fútbol)"
613639,"Toonamimaniacolatino",41794598,41802147,"http://es.wikipedia.org/w/index.php?diff=41802147&oldid=41794598","regular",1,1,"2010-11-15T14:56:16Z","Revertir a la revisión 39656245 de fecha 2010-08-21 16:10:08 de Toonamimaniacolatino usando [[w:es:User:Axxgreazz/Monobook-Suite|monobook-suite]]",655863,"Team Rocket"
613640,"87.222.160.144",40685542,41729945,"http://es.wikipedia.org/w/index.php?diff=41729945&oldid=40685542","regular",1,1,"2010-11-12T12:40:28Z","Añadidos links interesantes que habían sido borrados",140971,"La abadía del crimen"
613641,"Gelpgim22",42209357,42209547,"http://es.wikipedia.org/w/index.php?diff=42209547&oldid=42209357","regular",1,1,"2010-12-01T21:39:41Z",,64643,"La Renga"
613642,"Efegé",42178537,42180446,"http://es.wikipedia.org/w/index.php?diff=42180446&oldid=42178537","regular",1,1,"2010-11-30T18:34:55Z","Revertidos los cambios de [[Special:Contributions/201.210.98.52|201.210.98.52]] ([[User talk:201.210.98.52|disc.]]) a la última edición de 190.218.145.125",8000,"América Central"
613643,"190.214.231.20",39148623,42210555,"http://es.wikipedia.org/w/index.php?diff=42210555&oldid=39148623","regular",1,1,"2010-12-01T22:22:54Z",,2276355,"Giovanny Nazareno"
613644,"190.18.255.119",41961849,42209409,"http://es.wikipedia.org/w/index.php?diff=42209409&oldid=41961849","regular",1,1,"2010-12-01T21:34:07Z","/* Toponimia */",59179,"Pompeya"
613645,"190.234.92.87",42197480,42197517,"http://es.wikipedia.org/w/index.php?diff=42197517&oldid=42197480","regular",1,1,"2010-12-01T12:51:19Z","/* Teatro y Musicales */",2236807,"Juan Manuel Guilera"
613646,"81.35.200.198",42080076,42155822,"http://es.wikipedia.org/w/index.php?diff=42155822&oldid=42080076","regular",1,1,"2010-11-29T18:18:50Z","Location",3489946,"Río Arevalillo"
613647,"Wikiléptico",35924698,42223116,"http://es.wikipedia.org/w/index.php?diff=42223116&oldid=35924698","regular",1,1,"2010-12-02T13:59:44Z",,1144929,"Tuyuca"
613648,"Andres araya rojas",42039647,42180002,"http://es.wikipedia.org/w/index.php?diff=42180002&oldid=42039647","regular",1,1,"2010-11-30T18:16:51Z","/* Familia Altamirano */",133636,"Brujas (telenovela)"
613649,"190.21.184.226",41464802,42179157,"http://es.wikipedia.org/w/index.php?diff=42179157&oldid=41464802","regular",1,1,"2010-11-30T17:40:46Z",,275474,"Bartolomé"
613650,"200.117.201.129",41802719,42196992,"http://es.wikipedia.org/w/index.php?diff=42196992&oldid=41802719","regular",1,1,"2010-12-01T12:04:34Z","Es el lugar más adecuado",3056838,"Eduardo Feinmann"
613651,"84.88.233.33",42212202,42224557,"http://es.wikipedia.org/w/index.php?diff=42224557&oldid=42212202","regular",1,1,"2010-12-02T15:13:38Z","/* Otros */",408371,"El holandés errante (leyenda)"
613652,"Gallowolf",42176532,42177636,"http://es.wikipedia.org/w/index.php?diff=42177636&oldid=42176532","regular",1,1,"2010-11-30T16:32:33Z","/* Nueva información filtrada por WikiLeaks */",321580,"José Couso Permuy"
613653,"Tamorlan",26246857,42205227,"http://es.wikipedia.org/w/index.php?diff=42205227&oldid=26246857","regular",1,1,"2010-12-01T18:39:26Z",,2117688,"Vino de la Tierra de Pozohondo"
613654,"BuenaGente",42194726,42199417,"http://es.wikipedia.org/w/index.php?diff=42199417&oldid=42194726","regular",1,1,"2010-12-01T14:47:07Z","Revertidos los cambios de [[Special:Contributions/Miguel|Miguel]] ([[User talk:Miguel|disc.]]) a la última edición de 186.18.2.34",98468,"Pearl Jam"
613655,"Gersk8gt",42206031,42206057,"http://es.wikipedia.org/w/index.php?diff=42206057&oldid=42206031","regular",1,1,"2010-12-01T19:16:58Z","/* Discografía */",757609,"Chevelle"
613656,"80.31.237.150",41720374,41799045,"http://es.wikipedia.org/w/index.php?diff=41799045&oldid=41720374","regular",1,1,"2010-11-15T11:13:54Z","/* Canales Internacionales que une a esta empresa (Miembro Disney) */",38156,"The Walt Disney Company"
613657,"Jmsolerb",41825738,41825754,"http://es.wikipedia.org/w/index.php?diff=41825754&oldid=41825738","regular",1,1,"2010-11-16T15:20:01Z",,1773464,"Municipal de Montilivi"
613658,"79.148.241.90",42180026,42223408,"http://es.wikipedia.org/w/index.php?diff=42223408&oldid=42180026","vandalism",1,1,"2010-12-02T14:17:25Z",,79570,"Profesor"
